header_genome,header_mitogenome,organism,uL01m,uL02m,uL03m,uL04m,uL05m,uL06m,bL07m,bL09m,uL10m,uL11m,uL13m,uL14m,uL15m,uL16m,bL17m,uL18m,bL19m,bL20m,bL21m,uL22m,uL23m,uL24m,bL25m,bL27m,bL28m,uL29m,uL30m,bL31m,bL32m,bL33m,bL34m,bL35m,bL36m,mL38,mL40,mL41,mL42,mL43,mL44,mL45,mL46,mL49,mL50,mL52,mL53,mL54,mL59,mL60,mL61,mL73,mL80,mL84,mL87,bS01m,uS02m,uS03m,uS04m,uS05m,bS06m,uS07m,uS08m,uS09m,uS10m,uS11m,uS12m,uS13m,uS14m,uS15m,bS16m,uS17m,bS18m,uS19m,bS21m,mS22,mS23,mS26,mS27,mS29,mS31,mS33,mS34,mS35,mS37,mS38,mS41,mS42,mS43,mS44,mS47,mS49,mS56,mS60,mS63,mS67
Thecamonas,Thecamonas*,Thecamonas trahens,yes,yes_mt,yes,yes,yes_mt,yes,no,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes_mt,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,no,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,no,no,no,yes_mt,no,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Pygsuia,,Pygsuia biforma,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,,,no,,no,,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Allomyces,Allomyces*,Allomyces macrogynus,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes_mt,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Saccharomyces,Saccharomyces*,Saccharomyces cerevisiae,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes_mt,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
Ustilago,Ustilago*,Ustilago maydis,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes_mt,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no
Mitosporidium,,Mitosporidium daphniae,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no
Paramicrosporidium,Paramicrosporidium*,Paramicrosporidium saccamoebae,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes_mt,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
Rozella,,Rozella allomycis,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Fonticula,Fonticula*,Fonticula alba,yes,no,yes,yes,yes_mt,no,yes,yes,yes,no,yes,yes_mt,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Monosiga,Monosiga*,Monosiga brevicollis,yes,yes_mt,yes,yes,yes_mt,no,yes,yes,yes,no,yes,yes_mt,yes,yes_mt,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes_mt,yes_mt,yes,yes,yes,yes_mt,yes,yes,yes,yes_mt,yes_mt,yes_mt,no,yes,no,no,yes_mt,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Capsaspora,Capsaspora*,Capsaspora owczarzaki,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,yes,yes,yes,yes_mt,yes,yes_mt,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes_mt,yes,yes,yes,no,yes,yes,yes,yes_mt,yes_mt,yes_mt,yes,yes,yes,no,yes_mt,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Creolimax,,Creolimax fragrantissima,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Sphaeroforma,,Sphaeroforma arctica,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Homo,,Homo sapiens,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
Cryptosporidium,,Cryptosporidium parvum,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Gregarina,,Gregarina niphandrodes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Plasmodium,,Plasmodium falciparum,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Toxoplasma,,Toxoplasma gondii,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ichtyopthirius,Ichthyopthirius1,Ichthyopthirius multifiliis,yes,yes_mt,yes,yes,no,yes_mt,yes,no,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes,yes,yes_mt,no,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,no,yes,yes,yes,yes_mt,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Ichtyopthirius,Ichthyopthirius2,Ichthyopthirius multifiliis,yes,yes_mt,yes,yes,no,yes_mt,yes,no,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes,yes,yes_mt,no,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,no,yes,yes,yes,yes_mt,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Oxytricha,Oxytricha*,Oxytricha trifallax,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,no,yes_mt,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no
Paramecium,,Paramecium tetraurelia,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes,yes,yes_mt,no,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no
,Paramecium*,Paramecium caudatum,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes,yes,yes_mt,no,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no
Tetrahymena,Ttermophyla,Tetrahymena thermophila,yes,yes_mt,yes,yes,yes,yes_mt,yes,yes,yes_mt,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,no,yes,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no
Chromera,,Chromera velia,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Vitrella,,Vitrella brassicaformis,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Symbiodinium,,Symbiodinium natans,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Perkinsus,,Perkinsus marinus,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Bigelowiella,Bigelowiella*,Bigelowiella natans,yes,yes,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes_mt,yes_mt,yes,yes,yes_mt,yes,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes,yes,yes,yes,yes_mt,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Plasmodiophora,Plasmodiophora*,Plasmodiophora brassicae,yes,yes,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
Reticulomyxa,,Reticulomyxa filosa,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Blastocystis,BlastNand,Blastocystis sp. NandII,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes_mt,no,yes,yes,no,no,yes,yes_mt,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,no,yes_mt,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Cafeteria,Cafeteria,Cafeteria roenbergensis,yes,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Phaeodactylu,Phaeodactylum,Phaeodactylum tricornutum,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Thalassiosira,Thalassiosira*,Thalassiosira pseudonana,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,no,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chattonella,,Chattonella subsalsa,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
,Chattonella*,Chattonella marina,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes,yes,yes_mt,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
