organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Paracercomonas marina,,mitogenome_<genename>_Paracercomonas,ParaMari,372086,PARM2,m,Paracercomonas,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_026310.1,
Blastocystis sp. DMP,,mitogenome_<genename>_BlastDMP,BlasDMP,12967,BLADM,m,BlastDMP,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_011212.1,
Blastocystis sp. ST4,,mitogenome_<genename>_BlastST4,BlasST4,12967,BLAST,m,BlastST4,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_027962.1,
Sargassum fluitans,,mitogenome_<genename>_Sargassum,SargFlui,143163,SARF2,m,Sargassum,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_033385.1,
Pseudoperonospora cubensis,,mitogenome_<genename>_Pscubensis,PseuCuben,143453,PSECC,m,Pscubensis,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_027859.1,
Pseudoperonospora humuli,,mitogenome_<genename>_Pshumuli,PseuHumu,162120,PSEH2,m,Pshumuli,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_042478.1,
Telonemia sp.,,mitogenome_<genename>_MN082145,TeloSp,660925,TELSP,m,MN082145,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/MN082145.1,
Rhyzophidium sp.,,(mitogenome does not contain ribosomal protein genes),RhyzSp,60186,RHYSP,u,,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AF404306.1,
Chlorokybus atmophyticus,,mitogenome_<genename>_Chlorokybus,ChloAtmo,3144,CHLAT,m,Chlorokybus,,,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_009630.1,
,,,,,,,,,,,,
