organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Oxytricha trifallax,Oxytricha,mitogenome_<genename>_Oxytricha,OxytTrif,1172189,OXYT2,n,Oxytricha*,Genome,http://oxy.ciliate.org/index.php/home/downloads (PacBio 2020),Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/JN383843.1,
Paramecium tetraurelia,Paramecium,,ParaTetr,5888,PARTE,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000165425.1/,,,
Paramecium caudatum,,mitogenome_<genename>_Paramecium,ParaTetr,5885,PARTE,m,Paramecium*,Genome,https://elifesciences.org/articles/59264,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_014262.1,
Tetrahymena thermophila*,Tetrahymena,mitogenome_<genename>_Ttermophyla,TetrTher,5911,TETTH,n,Ttermophyla,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000189635.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_003029.1,
Chromera velia,Chromera,(mitogenome does not contain ribosomal protein genes),ChroVeli,505693,CHRVE,n,,Genome,https://cryptodb.org/common/downloads/Current_Release/CveliaCCMP2878/fasta/data/,Mitogenome,see table S2 in Flegontov et al. 2015,
Vitrella brassicaformis,Vitrella,(mitogenome does not contain ribosomal protein genes),VitrBras,1169539,VITBR,n,,Genome,https://cryptodb.org/common/downloads/Current_Release/VbrassicaformisCCMP3155/,Mitogenome,see Flegontov et al. 2015,
Symbiodinium natans,Symbiodinium,(mitogenome separately not available on NCBI),SymbNata,878477,SYMNA,u,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_905221605.1/,,,
Perkinsus marinus,Perkinsus,(mitogenome separately not available on NCBI),PerkMari,31276,PERM2,u,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000006405.1/,,,
Bigelowiella natans,Bigelowiella,mitogenome_<genename>_Bigelowiella,BigeNata,227086,BIGNA,n,Bigelowiella*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000002455.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/HQ840955.1,
Plasmodiophora brassicae,Plasmodiophora,mitogenome_<genename>_Plasmodiophora,PlasBras,37360,PLABS,n,Plasmodiophora*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_001049375.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/LS992577.1,
Reticulomyxa filosa,Reticulomyxa,(mitogenome separately not available on NCBI),RetiFilo,46433,RETFI,u,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_000512085.1/,,,
Blastocystis sp. NandII,Blastocystis,mitogenome_<genename>_BlastNand,BlasNand,478820,BLAHN,n,BlastNand,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_001651215.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_011213.1,
Cafeteria roenbergensis,Cafeteria,mitogenome_<genename>_Cafeteria,CafeRoen,33653,CAFRO,u,Cafeteria,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_008330645.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_000946.1,
